Position,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,yearID,teamID,OPS
C,171,585,51,132,33,3,9,58,52,9,137,3,1,6,0,10,18,3,0,0.226,0.289,0.338,2010,FLO,0.627
1B,197,637,80,170,39,3,21,93,59,2,116,6,3,9,0,9,15,5,0,0.267,0.331,0.436,2010,FLO,0.767
2B,167,608,102,174,32,0,33,108,80,2,155,2,0,5,0,7,10,5,1,0.286,0.368,0.502,2010,FLO,0.87
3B,225,617,67,163,41,4,12,94,48,2,144,9,0,8,0,3,18,3,3,0.264,0.323,0.402,2010,FLO,0.7250000000000001
SS,171,639,104,185,33,4,21,83,73,12,119,8,1,6,0,10,14,35,10,0.29,0.366,0.452,2010,FLO,0.8180000000000001
LF,173,652,116,185,47,10,8,53,75,1,145,7,4,4,0,9,7,10,5,0.284,0.362,0.423,2010,FLO,0.7849999999999999
CF,179,632,91,156,19,4,15,58,50,4,169,6,1,2,0,9,10,20,2,0.247,0.307,0.361,2010,FLO,0.6679999999999999
RF,174,598,75,148,34,4,26,90,49,10,181,10,0,2,0,6,10,7,3,0.247,0.314,0.448,2010,FLO,0.762
C,186,580,54,133,22,1,21,70,62,9,148,7,5,0,0,7,13,0,1,0.229,0.311,0.379,2011,FLO,0.69
1B,172,618,78,163,34,0,24,89,71,3,108,6,2,7,0,7,20,2,1,0.264,0.342,0.435,2011,FLO,0.777
2B,175,654,63,180,30,8,8,54,40,1,83,3,18,9,0,14,14,5,3,0.275,0.316,0.382,2011,FLO,0.698
3B,211,622,67,162,36,0,6,44,45,4,130,5,5,2,0,8,14,17,3,0.26,0.315,0.347,2011,FLO,0.6619999999999999
SS,177,635,85,164,31,5,14,73,70,5,133,3,8,5,0,5,8,35,14,0.258,0.332,0.389,2011,FLO,0.7210000000000001
LF,196,631,73,154,30,9,26,82,68,3,134,6,0,6,0,8,10,5,2,0.244,0.321,0.444,2011,FLO,0.765
CF,194,628,72,150,41,1,14,54,66,3,146,8,6,5,0,4,10,15,9,0.239,0.317,0.374,2011,FLO,0.6910000000000001
RF,186,601,85,156,32,6,34,90,76,8,189,10,2,6,0,6,10,10,7,0.26,0.349,0.502,2011,FLO,0.851
C,190,551,43,121,22,1,9,39,35,3,122,3,3,1,0,6,13,0,0,0.22,0.269,0.312,2010,HOU,0.581
1B,182,585,68,141,30,2,19,80,72,7,127,8,0,0,0,9,18,3,2,0.241,0.332,0.397,2010,HOU,0.7290000000000001
2B,175,624,66,157,35,1,7,59,56,1,57,2,7,4,0,5,18,5,2,0.252,0.313,0.345,2010,HOU,0.6579999999999999
3B,169,616,58,163,31,3,14,80,25,3,126,3,0,9,0,13,16,4,1,0.265,0.292,0.393,2010,HOU,0.685
SS,183,585,63,152,22,4,2,54,40,3,127,6,11,3,0,11,13,1,2,0.26,0.312,0.321,2010,HOU,0.633
LF,219,637,69,158,36,2,22,81,45,2,79,5,0,4,0,4,22,6,3,0.248,0.301,0.414,2010,HOU,0.715
CF,177,650,95,164,27,7,3,43,68,5,127,3,6,2,0,9,12,59,15,0.252,0.325,0.329,2010,HOU,0.654
RF,166,639,96,180,30,3,26,93,43,2,110,0,0,3,0,9,13,18,9,0.282,0.326,0.46,2010,HOU,0.786
C,180,560,41,118,27,2,5,47,30,8,132,7,5,6,0,11,18,1,0,0.211,0.257,0.293,2011,HOU,0.55
1B,188,598,66,164,41,0,16,83,69,8,112,5,1,5,1,7,13,2,2,0.274,0.352,0.423,2011,HOU,0.7749999999999999
2B,185,660,80,169,33,4,9,59,31,1,122,5,7,5,1,8,12,8,5,0.256,0.292,0.359,2011,HOU,0.651
3B,178,629,59,163,38,5,11,68,31,3,157,8,2,5,0,6,6,7,6,0.259,0.3,0.388,2011,HOU,0.688
SS,170,613,69,152,33,0,13,58,49,2,112,9,8,4,0,5,13,4,1,0.248,0.311,0.365,2011,HOU,0.6759999999999999
LF,210,650,78,180,39,4,15,88,47,5,106,4,2,4,0,8,19,16,5,0.277,0.328,0.418,2011,HOU,0.746
CF,176,683,100,190,33,9,3,46,57,3,131,4,4,2,0,6,7,58,8,0.278,0.336,0.366,2011,HOU,0.702
RF,190,646,73,193,43,4,16,80,50,2,126,2,2,4,0,14,16,14,4,0.299,0.349,0.452,2011,HOU,0.8009999999999999
C,175,540,57,121,24,2,17,63,66,5,146,6,3,5,0,8,14,0,1,0.224,0.313,0.37,2012,HOU,0.683
1B,188,631,63,163,32,2,20,68,43,2,119,11,1,3,0,5,14,1,3,0.258,0.315,0.41,2012,HOU,0.725
2B,176,659,88,188,41,5,9,42,43,0,101,8,4,4,0,14,10,33,12,0.285,0.335,0.404,2012,HOU,0.7390000000000001
3B,199,629,69,168,28,6,20,76,36,4,148,7,1,2,0,6,20,4,2,0.267,0.313,0.426,2012,HOU,0.739
SS,181,618,76,150,31,0,25,63,57,0,126,3,2,3,0,11,10,7,5,0.243,0.308,0.414,2012,HOU,0.722
LF,205,612,56,139,24,4,21,82,56,1,158,6,0,3,1,6,20,3,5,0.227,0.297,0.382,2012,HOU,0.679
CF,198,597,68,125,17,4,13,59,62,3,197,7,7,3,1,12,8,33,13,0.209,0.29,0.317,2012,HOU,0.607
RF,221,592,63,132,26,4,13,51,62,1,167,8,0,4,0,9,9,16,4,0.223,0.303,0.346,2012,HOU,0.649
C,187,542,59,120,27,3,20,68,34,0,162,7,5,4,0,6,14,6,1,0.221,0.274,0.393,2010,ANA,0.667
1B,184,601,82,152,27,0,29,96,44,6,125,10,0,4,0,5,15,3,2,0.253,0.313,0.443,2010,ANA,0.756
2B,170,646,67,177,40,5,8,75,35,1,95,6,5,5,0,7,14,18,6,0.274,0.315,0.389,2010,ANA,0.704
3B,182,600,67,134,26,0,8,52,33,1,79,3,7,3,0,10,14,7,3,0.223,0.266,0.307,2010,ANA,0.573
SS,168,631,78,151,21,4,6,35,39,1,108,8,15,2,0,11,8,21,8,0.239,0.291,0.314,2010,ANA,0.605
LF,201,597,86,160,37,0,24,81,59,5,107,5,0,3,1,8,9,12,8,0.268,0.337,0.451,2010,ANA,0.788
CF,181,597,84,158,32,4,22,84,59,5,118,7,5,6,0,16,13,18,13,0.265,0.335,0.442,2010,ANA,0.777
RF,180,623,84,168,39,2,21,88,78,2,122,3,0,4,0,7,19,17,9,0.27,0.352,0.44,2010,ANA,0.792
DH,177,552,54,128,27,1,17,72,71,4,120,1,2,5,3,8,14,0,2,0.232,0.318,0.377,2010,ANA,0.6950000000000001
C,194,516,37,99,27,0,10,48,40,5,125,3,20,4,0,8,6,1,4,0.192,0.252,0.302,2011,ANA,0.554
1B,192,612,74,160,35,1,32,96,28,6,135,6,1,3,0,6,20,10,4,0.261,0.299,0.479,2011,ANA,0.778
2B,173,641,92,177,37,7,16,71,47,3,125,8,4,4,0,4,16,17,7,0.276,0.331,0.431,2011,ANA,0.762
3B,173,612,69,174,37,0,7,55,63,11,69,5,0,3,0,6,14,10,1,0.284,0.354,0.379,2011,ANA,0.733
SS,171,638,84,180,41,8,12,67,38,1,86,8,11,3,0,12,15,32,8,0.282,0.329,0.428,2011,ANA,0.757
LF,192,625,71,141,29,3,27,86,36,2,117,5,2,4,0,13,7,12,5,0.226,0.272,0.411,2011,ANA,0.683
CF,173,587,82,151,29,11,13,48,35,0,145,10,7,1,0,10,10,24,10,0.257,0.31,0.411,2011,ANA,0.721
RF,183,627,80,162,27,1,22,78,60,2,134,5,0,4,0,8,22,9,6,0.258,0.326,0.41,2011,ANA,0.736
DH,165,561,68,135,25,3,14,70,86,3,121,1,1,4,0,4,15,19,7,0.241,0.34,0.371,2011,ANA,0.7110000000000001
C,195,488,59,110,12,1,15,44,53,0,115,5,15,3,0,5,13,1,3,0.225,0.306,0.346,2012,ANA,0.6519999999999999
1B,175,643,91,185,43,1,36,113,58,15,103,6,0,6,0,4,18,9,2,0.288,0.349,0.526,2012,ANA,0.875
2B,173,618,64,178,34,3,9,71,39,1,119,4,7,5,0,12,28,20,6,0.288,0.332,0.396,2012,ANA,0.728
3B,173,592,68,147,29,0,9,54,64,1,78,1,4,4,0,9,10,7,4,0.248,0.321,0.343,2012,ANA,0.664
SS,174,615,82,180,34,5,9,54,31,1,76,6,9,2,1,11,15,28,5,0.293,0.332,0.408,2012,ANA,0.74
LF,216,627,92,156,28,2,35,102,48,5,141,4,1,6,0,5,12,12,6,0.249,0.304,0.467,2012,ANA,0.771
CF,206,606,116,177,24,6,24,79,68,2,158,6,6,8,0,8,10,44,5,0.292,0.365,0.47,2012,ANA,0.835
RF,190,656,93,204,33,2,21,107,46,2,158,9,1,4,0,0,14,9,2,0.311,0.362,0.463,2012,ANA,0.825
DH,166,604,79,166,33,2,27,91,37,2,139,6,0,2,0,11,17,3,0,0.275,0.322,0.47,2012,ANA,0.792
C,185,524,59,124,28,1,16,55,81,4,150,5,0,5,0,5,13,0,2,0.237,0.341,0.385,2013,ANA,0.726
1B,180,635,90,148,26,2,35,111,56,6,165,2,1,10,0,13,19,6,2,0.233,0.293,0.446,2013,ANA,0.739
2B,179,617,72,182,28,5,14,69,37,5,132,7,4,4,0,9,19,7,3,0.295,0.34,0.425,2013,ANA,0.765
3B,176,585,65,144,23,2,8,67,48,2,108,4,6,8,0,5,11,2,5,0.246,0.304,0.333,2013,ANA,0.637
SS,182,646,79,170,36,5,9,61,25,1,81,5,10,6,0,6,18,12,8,0.263,0.293,0.376,2013,ANA,0.669
LF,203,643,85,177,32,5,11,71,56,2,106,1,6,9,0,9,16,19,5,0.275,0.33,0.392,2013,ANA,0.722
CF,177,615,109,196,35,12,25,94,83,7,142,15,5,6,0,9,12,27,6,0.319,0.409,0.537,2013,ANA,0.946
RF,188,631,85,159,31,5,24,82,56,1,164,5,2,12,0,5,14,5,3,0.252,0.313,0.431,2013,ANA,0.744
DH,162,601,72,158,29,2,19,80,68,11,138,3,0,4,0,8,26,4,0,0.263,0.339,0.413,2013,ANA,0.752
C,188,528,63,126,33,0,11,66,75,2,143,10,4,4,0,5,9,3,2,0.239,0.342,0.364,2014,ANA,0.706
1B,194,661,85,167,38,2,23,92,48,10,90,2,1,6,0,15,19,3,2,0.253,0.303,0.421,2014,ANA,0.724
2B,172,643,86,183,34,5,6,72,47,8,117,5,3,2,0,10,19,14,4,0.285,0.337,0.381,2014,ANA,0.718
3B,246,591,64,142,30,4,12,70,44,1,162,9,4,6,0,8,13,3,4,0.24,0.3,0.365,2014,ANA,0.665
SS,178,626,79,173,33,4,7,71,38,4,74,7,3,9,1,9,10,16,9,0.276,0.321,0.375,2014,ANA,0.696
LF,200,610,71,143,22,2,12,66,47,5,160,6,2,5,0,8,4,12,4,0.234,0.293,0.336,2014,ANA,0.629
CF,178,626,120,177,38,8,37,110,86,5,193,10,0,11,0,8,6,15,2,0.283,0.372,0.546,2014,ANA,0.918
RF,190,661,114,181,44,3,19,70,51,1,144,5,3,2,0,14,8,8,3,0.274,0.33,0.436,2014,ANA,0.766
DH,178,578,68,146,26,2,27,95,44,5,144,5,0,7,0,4,21,6,6,0.253,0.308,0.445,2014,ANA,0.753
C,173,537,50,118,23,0,14,55,60,1,130,1,2,5,0,8,17,2,2,0.22,0.297,0.341,2015,ANA,0.638
1B,199,621,76,153,22,0,36,84,44,8,109,4,0,2,1,6,16,3,2,0.246,0.3,0.456,2015,ANA,0.756
2B,192,560,62,140,27,6,6,54,35,0,89,3,13,6,0,6,13,4,3,0.25,0.295,0.352,2015,ANA,0.647
3B,218,580,64,138,34,1,15,69,43,1,158,11,5,2,0,6,14,3,1,0.238,0.302,0.378,2015,ANA,0.6799999999999999
SS,181,635,77,164,31,1,4,44,27,1,90,6,7,5,0,10,12,15,6,0.258,0.293,0.329,2015,ANA,0.622
LF,234,556,50,120,21,4,9,51,38,3,113,9,4,4,2,9,11,2,6,0.216,0.275,0.317,2015,ANA,0.5920000000000001
CF,175,593,103,175,31,6,40,90,90,14,160,10,0,5,0,7,10,11,7,0.295,0.394,0.57,2015,ANA,0.964
RF,172,653,81,166,25,2,27,84,46,1,170,5,2,4,0,4,7,5,1,0.254,0.306,0.423,2015,ANA,0.729
DH,169,561,64,132,26,1,23,76,43,5,100,9,1,6,0,6,13,6,3,0.235,0.297,0.408,2015,ANA,0.705
C,182,557,60,128,31,0,17,68,29,0,109,5,14,6,0,5,12,2,0,0.23,0.271,0.377,2016,ANA,0.648
1B,187,611,72,158,29,1,26,91,41,3,108,9,0,7,2,8,16,4,5,0.259,0.311,0.437,2016,ANA,0.748
2B,220,570,62,134,27,3,10,47,31,0,105,2,8,3,0,9,17,6,4,0.235,0.276,0.346,2016,ANA,0.622
3B,184,652,83,191,36,2,10,57,47,0,100,4,3,7,0,6,25,1,4,0.293,0.341,0.4,2016,ANA,0.7410000000000001
SS,189,592,66,165,32,2,6,60,36,1,79,3,3,5,0,7,20,10,1,0.279,0.321,0.37,2016,ANA,0.6910000000000001
LF,224,559,62,114,28,0,11,59,46,0,113,7,7,5,1,8,16,10,4,0.204,0.271,0.313,2016,ANA,0.5840000000000001
CF,182,568,126,184,35,6,28,103,109,12,131,10,1,5,0,11,6,27,7,0.324,0.438,0.555,2016,ANA,0.9930000000000001
RF,177,624,93,166,36,5,18,75,69,0,122,6,0,5,0,3,13,3,4,0.266,0.342,0.426,2016,ANA,0.768
DH,170,593,66,153,20,1,29,115,49,5,86,4,0,6,0,7,21,8,2,0.258,0.316,0.442,2016,ANA,0.758
C,194,528,48,114,23,1,15,51,17,1,136,18,8,3,0,7,15,0,2,0.216,0.263,0.348,2017,ANA,0.611
1B,181,584,62,135,21,1,27,88,44,1,158,11,0,7,2,7,12,4,3,0.231,0.294,0.409,2017,ANA,0.703
2B,189,557,67,115,23,1,14,57,45,2,165,8,5,3,0,3,8,8,6,0.206,0.274,0.327,2017,ANA,0.601
3B,198,610,77,145,31,1,21,73,71,1,133,3,0,4,0,7,19,2,8,0.238,0.318,0.395,2017,ANA,0.7130000000000001
SS,176,616,81,170,39,2,15,75,49,0,77,3,0,9,0,8,20,19,6,0.276,0.328,0.419,2017,ANA,0.747
LF,183,599,88,148,28,3,14,54,63,2,113,6,3,2,0,10,15,40,11,0.247,0.324,0.374,2017,ANA,0.698
CF,176,595,129,168,39,3,36,87,109,14,141,9,0,4,0,11,13,39,6,0.282,0.399,0.539,2017,ANA,0.9380000000000001
RF,174,605,83,148,24,2,19,72,74,4,140,8,0,8,0,6,12,6,1,0.245,0.331,0.385,2017,ANA,0.716
DH,167,604,55,145,18,0,24,102,41,5,97,4,0,5,0,2,24,6,1,0.24,0.291,0.389,2017,ANA,0.6799999999999999
C,187,558,51,123,25,0,17,72,25,0,160,14,2,1,0,7,12,1,2,0.22,0.271,0.357,2018,ANA,0.628
1B,220,607,63,140,27,0,18,66,38,2,107,4,0,3,0,10,13,2,1,0.231,0.279,0.364,2018,ANA,0.643
2B,177,642,88,152,35,4,15,58,45,0,89,9,2,4,0,8,17,11,4,0.237,0.294,0.374,2018,ANA,0.6679999999999999
3B,204,596,60,131,31,2,18,66,43,2,166,7,1,4,0,4,10,5,0,0.22,0.278,0.369,2018,ANA,0.647
SS,174,626,74,173,29,5,13,78,43,2,62,6,1,5,0,10,18,10,2,0.276,0.326,0.401,2018,ANA,0.7270000000000001
LF,183,598,88,147,20,1,32,92,74,1,205,10,1,6,0,8,13,10,2,0.246,0.336,0.443,2018,ANA,0.779
CF,182,558,106,165,31,6,40,82,114,24,145,10,0,5,0,3,7,25,2,0.296,0.421,0.588,2018,ANA,1.009
RF,187,590,81,120,20,3,22,64,58,2,166,5,0,8,1,3,8,8,4,0.203,0.277,0.359,2018,ANA,0.636
DH,158,574,84,154,28,2,33,97,63,4,153,4,0,3,2,9,11,12,5,0.268,0.343,0.497,2018,ANA,0.8400000000000001
C,195,552,59,122,21,1,15,61,48,0,120,11,1,6,1,3,24,2,0,0.221,0.293,0.344,2019,ANA,0.637
1B,181,624,76,148,27,1,34,120,61,2,141,4,0,6,0,7,20,2,0,0.237,0.306,0.447,2019,ANA,0.753
2B,198,603,76,155,25,3,16,56,56,2,124,5,1,3,4,16,11,2,6,0.257,0.324,0.388,2019,ANA,0.712
3B,206,626,81,152,23,1,13,58,56,0,111,3,1,4,2,5,14,5,1,0.243,0.306,0.345,2019,ANA,0.651
SS,189,643,74,172,36,2,8,66,44,1,64,3,0,0,0,5,23,12,3,0.267,0.317,0.367,2019,ANA,0.6839999999999999
LF,197,597,93,140,32,2,23,78,67,1,188,9,1,7,0,6,10,6,2,0.235,0.318,0.41,2019,ANA,0.728
CF,179,588,117,159,34,4,49,114,113,12,162,17,0,5,0,7,8,15,2,0.27,0.4,0.592,2019,ANA,0.992
RF,171,610,101,150,36,2,37,83,73,7,180,8,0,3,1,10,14,4,1,0.246,0.333,0.493,2019,ANA,0.8260000000000001
DH,161,599,78,152,33,5,23,84,54,2,144,7,0,7,2,13,14,14,4,0.254,0.319,0.441,2019,ANA,0.76
C,176,553,63,125,19,1,19,57,41,0,169,18,5,5,0,4,15,0,0,0.226,0.298,0.367,2021,ANA,0.665
1B,176,628,82,165,34,1,31,110,52,6,165,6,0,2,0,5,7,3,1,0.263,0.324,0.468,2021,ANA,0.792
2B,174,653,76,169,29,4,5,51,29,1,72,1,8,1,0,6,11,15,2,0.259,0.291,0.338,2021,ANA,0.629
3B,186,587,63,138,37,0,16,79,55,2,139,7,3,3,0,7,19,8,3,0.235,0.307,0.38,2021,ANA,0.687
SS,172,599,85,152,26,1,14,62,31,0,100,5,3,3,0,8,12,8,3,0.254,0.295,0.371,2021,ANA,0.6659999999999999
LF,218,623,81,140,23,2,25,84,55,0,178,1,3,4,1,8,16,5,1,0.225,0.287,0.388,2021,ANA,0.675
CF,185,589,85,154,39,5,13,63,57,5,184,8,3,2,0,1,7,9,2,0.261,0.334,0.411,2021,ANA,0.745
RF,210,569,70,135,31,1,20,76,43,1,163,6,4,3,0,6,11,5,5,0.237,0.296,0.401,2021,ANA,0.6970000000000001
DH,134,496,95,128,21,8,44,92,86,17,173,4,0,1,0,8,6,25,8,0.258,0.371,0.599,2021,ANA,0.97
C,175,554,50,104,17,1,16,56,58,0,169,4,4,4,0,4,14,0,0,0.188,0.268,0.309,2022,ANA,0.577
1B,189,609,53,132,25,2,16,52,42,4,186,4,0,1,0,5,10,2,1,0.217,0.271,0.343,2022,ANA,0.6140000000000001
2B,224,611,48,152,24,3,6,42,28,0,102,8,5,0,0,6,15,9,6,0.249,0.291,0.327,2022,ANA,0.618
3B,201,608,57,143,27,3,18,68,47,0,135,7,1,2,0,3,16,5,1,0.235,0.297,0.378,2022,ANA,0.675
SS,216,535,60,120,15,2,15,46,23,0,153,3,9,4,0,9,7,18,2,0.224,0.258,0.344,2022,ANA,0.602
LF,218,577,59,120,19,4,16,59,35,1,235,6,3,4,1,4,6,11,3,0.208,0.259,0.338,2022,ANA,0.597
CF,189,611,104,158,32,8,43,94,59,7,195,8,0,2,0,7,5,6,2,0.259,0.331,0.548,2022,ANA,0.879
RF,187,604,79,160,28,2,23,71,65,0,155,7,1,5,0,8,9,8,3,0.265,0.341,0.432,2022,ANA,0.773
DH,169,615,92,163,30,6,35,100,76,14,174,5,0,3,0,4,8,11,9,0.265,0.349,0.504,2022,ANA,0.853
C,192,555,66,123,16,1,28,69,57,1,168,7,1,3,0,5,12,2,2,0.222,0.301,0.405,2023,ANA,0.706
1B,208,619,80,148,25,0,21,81,48,1,163,8,0,2,0,4,23,0,2,0.239,0.301,0.381,2023,ANA,0.6819999999999999
2B,209,608,75,156,32,6,21,82,48,1,154,8,1,6,0,5,10,4,4,0.257,0.316,0.433,2023,ANA,0.749
3B,191,599,66,144,24,6,11,70,52,0,123,8,0,13,0,7,15,6,4,0.24,0.304,0.356,2023,ANA,0.6599999999999999
SS,198,554,73,133,24,0,16,60,47,0,135,20,5,3,0,9,10,13,4,0.24,0.321,0.37,2023,ANA,0.6910000000000001
LF,174,623,92,152,34,1,27,74,52,0,153,10,0,7,0,4,14,8,4,0.244,0.309,0.432,2023,ANA,0.741
CF,182,621,81,154,25,3,26,72,59,3,241,8,0,3,0,5,8,7,1,0.248,0.32,0.424,2023,ANA,0.744
RF,183,608,76,147,38,0,30,85,43,0,167,6,0,5,0,6,14,5,2,0.242,0.296,0.452,2023,ANA,0.748
DH,170,602,111,172,28,8,48,106,101,21,184,3,0,3,5,7,10,20,6,0.286,0.389,0.598,2023,ANA,0.987
C,173,586,74,142,25,1,22,72,53,0,194,7,1,2,0,5,8,5,2,0.242,0.312,0.401,2024,ANA,0.7130000000000001
1B,175,596,76,152,26,0,16,62,78,0,118,10,3,8,1,3,16,10,1,0.255,0.347,0.379,2024,ANA,0.726
2B,203,544,51,122,21,0,6,38,51,0,119,6,4,1,1,11,17,11,6,0.224,0.297,0.296,2024,ANA,0.593
3B,183,606,65,131,21,3,10,51,54,0,136,10,0,5,0,8,17,23,5,0.216,0.289,0.31,2024,ANA,0.599
SS,169,583,69,144,37,1,23,79,41,1,151,16,4,1,0,5,15,29,10,0.247,0.314,0.432,2024,ANA,0.746
LF,175,614,73,139,26,1,26,84,57,0,167,8,0,8,0,4,12,5,4,0.226,0.297,0.399,2024,ANA,0.696
CF,185,595,77,136,23,5,29,87,36,1,167,9,0,4,0,5,5,19,7,0.229,0.281,0.43,2024,ANA,0.7110000000000001
RF,176,557,73,117,19,3,21,69,48,1,168,13,0,2,1,6,15,22,10,0.21,0.287,0.368,2024,ANA,0.655
DH,192,582,57,129,27,1,11,44,58,1,157,7,0,2,0,2,8,6,5,0.222,0.299,0.328,2024,ANA,0.627
C,179,572,46,144,27,2,10,65,59,7,114,2,0,7,0,8,17,1,1,0.252,0.32,0.358,2010,BAL,0.6779999999999999
1B,188,610,56,138,32,1,11,59,53,2,128,3,0,6,0,6,24,1,1,0.226,0.289,0.336,2010,BAL,0.625
2B,191,622,66,162,26,1,17,64,59,3,121,8,8,2,0,7,11,16,10,0.26,0.331,0.387,2010,BAL,0.718
3B,183,646,67,168,28,0,16,71,21,2,109,10,0,9,0,9,22,2,1,0.26,0.29,0.378,2010,BAL,0.6679999999999999
SS,184,556,45,131,15,1,1,31,27,1,69,6,7,2,0,8,14,12,5,0.236,0.277,0.272,2010,BAL,0.549
LF,184,634,76,162,31,4,13,58,34,0,136,2,8,4,1,7,18,23,4,0.256,0.294,0.379,2010,BAL,0.673
CF,169,636,83,182,28,5,20,74,26,1,131,13,3,3,0,10,19,9,7,0.286,0.326,0.44,2010,BAL,0.766
RF,166,639,78,187,45,4,12,63,72,9,96,2,1,5,0,3,18,7,2,0.293,0.364,0.432,2010,BAL,0.796
DH,166,558,80,157,30,3,31,85,66,5,120,8,2,7,0,7,8,2,2,0.281,0.362,0.513,2010,BAL,0.875
C,172,590,78,149,32,1,22,77,54,3,108,3,2,2,0,3,21,2,0,0.253,0.317,0.422,2011,BAL,0.739
1B,173,620,85,153,32,2,28,78,54,3,178,8,0,2,0,6,19,3,3,0.247,0.314,0.44,2011,BAL,0.754
2B,180,611,78,153,29,2,7,61,44,0,117,2,8,2,0,7,20,16,3,0.25,0.302,0.339,2011,BAL,0.641
3B,176,571,76,119,28,0,26,78,74,2,187,4,1,4,0,11,17,9,4,0.208,0.302,0.394,2011,BAL,0.696
SS,177,638,89,173,32,0,31,85,45,3,118,4,5,5,0,4,10,1,0,0.271,0.321,0.467,2011,BAL,0.788
LF,216,573,62,123,22,3,17,59,52,1,129,7,5,6,0,9,7,9,5,0.215,0.285,0.353,2011,BAL,0.6379999999999999
CF,172,637,80,175,29,3,25,89,37,2,125,9,2,12,0,13,16,18,5,0.275,0.318,0.447,2011,BAL,0.765
RF,171,652,76,189,32,1,17,78,64,5,79,7,0,6,0,5,17,15,3,0.29,0.357,0.42,2011,BAL,0.7769999999999999
DH,167,614,67,174,32,1,16,70,27,5,62,7,0,4,0,9,24,2,2,0.283,0.319,0.417,2011,BAL,0.736
C,175,594,70,140,31,0,25,93,66,4,133,4,2,3,1,8,22,3,0,0.236,0.315,0.414,2012,BAL,0.729
1B,171,578,84,142,29,0,29,80,63,2,182,9,0,3,0,4,20,1,5,0.246,0.328,0.446,2012,BAL,0.774
2B,189,572,59,122,17,2,14,57,45,0,144,4,10,6,0,5,16,5,6,0.213,0.273,0.323,2012,BAL,0.5960000000000001
3B,185,573,61,144,30,3,20,68,51,0,151,0,3,4,0,9,16,3,3,0.251,0.311,0.419,2012,BAL,0.73
SS,171,679,86,163,32,2,22,69,39,4,111,3,7,2,0,6,21,0,0,0.24,0.284,0.39,2012,BAL,0.6739999999999999
LF,198,621,84,146,33,2,21,57,53,3,141,4,10,4,0,6,11,20,6,0.235,0.298,0.396,2012,BAL,0.694
CF,173,654,104,189,40,3,33,85,34,0,126,13,0,2,0,11,15,17,7,0.289,0.336,0.511,2012,BAL,0.847
RF,186,635,86,180,34,3,26,97,58,5,109,5,2,5,1,6,14,4,1,0.283,0.346,0.469,2012,BAL,0.815
DH,168,566,70,136,22,1,24,70,64,5,186,7,0,1,0,1,12,3,0,0.24,0.324,0.41,2012,BAL,0.734
C,175,589,62,137,32,0,23,84,47,5,123,0,2,12,0,3,8,2,1,0.233,0.284,0.404,2013,BAL,0.688
1B,168,596,98,169,41,1,51,134,70,13,200,10,0,7,0,5,4,4,1,0.284,0.365,0.612,2013,BAL,0.977
2B,188,550,64,130,22,3,15,63,49,3,112,3,5,5,0,6,7,10,2,0.236,0.3,0.369,2013,BAL,0.669
3B,169,690,92,196,52,3,16,76,31,0,118,3,9,3,0,8,16,6,7,0.284,0.316,0.438,2013,BAL,0.754
SS,170,616,67,162,28,0,26,77,38,3,74,1,3,2,0,8,14,2,1,0.263,0.306,0.435,2013,BAL,0.741
LF,192,633,90,159,31,3,16,42,60,2,104,5,4,1,0,4,10,30,7,0.251,0.32,0.385,2013,BAL,0.7050000000000001
CF,166,662,100,189,34,1,34,111,25,4,138,8,0,3,0,8,14,15,3,0.285,0.318,0.494,2013,BAL,0.812
RF,166,648,90,178,25,0,10,60,52,3,85,3,0,7,0,6,17,1,3,0.275,0.328,0.36,2013,BAL,0.688
DH,180,532,72,126,30,3,21,69,39,1,138,3,0,5,0,9,11,3,2,0.237,0.29,0.423,2013,BAL,0.713
C,174,558,57,134,25,1,19,71,37,0,147,3,8,8,0,8,13,1,2,0.24,0.287,0.391,2014,BAL,0.6779999999999999
1B,184,594,86,131,26,0,35,88,77,8,195,8,2,5,0,7,6,4,1,0.221,0.316,0.441,2014,BAL,0.757
2B,179,578,63,125,16,2,21,54,21,0,147,12,8,0,0,10,14,4,0,0.216,0.259,0.36,2014,BAL,0.619
3B,194,624,75,156,34,0,20,64,39,5,157,6,2,2,0,4,15,4,1,0.25,0.3,0.401,2014,BAL,0.7010000000000001
SS,170,611,67,164,36,0,10,63,35,1,118,5,3,5,0,6,13,0,0,0.268,0.311,0.376,2014,BAL,0.687
LF,231,616,90,167,34,6,30,81,58,1,132,4,6,4,0,7,10,14,8,0.271,0.336,0.492,2014,BAL,0.8280000000000001
CF,174,662,91,181,31,2,29,97,20,1,135,12,0,7,0,9,11,8,1,0.273,0.304,0.458,2014,BAL,0.762
RF,176,673,85,189,32,1,19,58,62,4,95,6,1,2,0,5,12,6,3,0.281,0.346,0.416,2014,BAL,0.762
DH,158,595,72,165,27,3,25,87,44,8,134,5,1,3,0,8,15,1,2,0.277,0.331,0.459,2014,BAL,0.79
C,167,560,63,142,30,3,19,73,48,2,123,2,3,4,1,5,14,0,0,0.254,0.313,0.42,2015,BAL,0.733
1B,182,588,95,142,33,0,44,105,73,3,203,6,0,4,0,6,11,1,2,0.241,0.329,0.522,2015,BAL,0.851
