Position,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,yearID,teamID,OPS
RF,174,612,81,169,35,6,17,78,72,10,180,5,3,7,0,4,20,15,8,0.276,0.353,0.436,2010,ARI,0.7889999999999999
C,171,585,77,162,39,2,26,96,57,11,117,8,1,4,0,3,16,1,2,0.277,0.347,0.484,2011,ARI,0.831
1B,177,579,69,142,35,2,21,91,64,4,157,6,2,4,0,2,6,8,1,0.245,0.325,0.421,2011,ARI,0.746
2B,170,640,94,148,38,7,22,70,66,2,170,7,6,1,0,3,5,22,10,0.231,0.31,0.416,2011,ARI,0.726
3B,178,597,88,150,32,2,20,85,61,4,103,4,3,6,0,7,15,16,7,0.251,0.322,0.412,2011,ARI,0.734
SS,173,645,77,159,32,7,9,72,48,1,126,4,2,2,0,5,5,21,11,0.247,0.302,0.36,2011,ARI,0.6619999999999999
LF,185,590,72,159,24,8,9,51,53,16,118,5,2,1,0,5,10,19,5,0.269,0.334,0.383,2011,ARI,0.7170000000000001
CF,167,598,92,147,39,3,20,74,84,4,143,4,1,7,0,9,3,24,10,0.246,0.339,0.421,2011,ARI,0.76
RF,175,617,112,181,40,5,33,98,62,11,130,19,0,6,0,7,8,21,9,0.293,0.372,0.535,2011,ARI,0.907
C,174,578,75,159,29,2,17,100,77,7,153,12,1,2,0,11,15,1,1,0.275,0.371,0.42,2012,ARI,0.7909999999999999
1B,168,599,95,177,55,1,22,93,74,7,150,4,0,9,0,10,12,18,3,0.295,0.372,0.501,2012,ARI,0.873
2B,171,643,98,191,47,6,26,88,55,7,92,4,2,3,0,6,17,14,6,0.297,0.355,0.51,2012,ARI,0.865
3B,174,605,57,145,23,3,19,90,45,3,134,4,3,8,0,6,21,8,4,0.24,0.293,0.382,2012,ARI,0.675
SS,178,637,75,167,39,6,8,58,47,6,124,1,1,3,1,8,9,6,10,0.262,0.313,0.38,2012,ARI,0.6930000000000001
LF,181,618,86,154,34,4,32,97,68,10,172,3,5,7,0,5,12,6,3,0.249,0.323,0.472,2012,ARI,0.7949999999999999
CF,171,616,94,156,42,5,19,65,73,2,129,5,2,3,0,7,7,18,12,0.253,0.336,0.43,2012,ARI,0.766
RF,174,618,117,176,26,4,18,74,65,5,134,7,1,6,0,5,8,20,11,0.285,0.356,0.427,2012,ARI,0.7829999999999999
C,172,622,60,154,26,0,12,62,58,4,142,5,1,9,0,7,27,0,0,0.248,0.313,0.347,2013,ARI,0.6599999999999999
1B,171,617,104,184,37,3,36,127,101,19,153,3,0,5,1,6,25,15,7,0.298,0.397,0.543,2013,ARI,0.9400000000000001
2B,180,638,79,182,33,2,16,72,55,5,90,6,1,2,0,6,19,3,5,0.285,0.347,0.418,2013,ARI,0.7649999999999999
3B,191,647,74,172,38,4,15,86,54,4,95,3,0,6,1,5,32,3,5,0.266,0.323,0.406,2013,ARI,0.7290000000000001
SS,176,597,68,159,28,4,8,48,56,7,111,7,2,2,1,10,7,3,4,0.266,0.335,0.367,2013,ARI,0.702
LF,195,660,81,190,41,5,14,83,47,3,123,4,2,11,0,6,17,8,5,0.288,0.334,0.429,2013,ARI,0.763
CF,181,673,94,173,31,8,10,50,53,1,131,5,6,0,0,7,8,19,6,0.257,0.316,0.371,2013,ARI,0.687
RF,179,639,76,159,44,3,13,57,54,4,110,7,5,3,0,3,14,7,7,0.249,0.313,0.388,2013,ARI,0.7010000000000001
C,168,602,45,146,31,0,14,79,59,11,116,9,0,6,0,11,18,0,4,0.243,0.317,0.364,2014,ARI,0.681
1B,166,609,97,174,51,2,27,109,79,12,156,2,1,7,4,12,15,10,4,0.286,0.366,0.509,2014,ARI,0.875
2B,170,647,70,154,24,7,10,67,37,0,125,9,0,9,0,6,19,4,3,0.238,0.285,0.343,2014,ARI,0.628
3B,169,626,70,166,27,6,12,69,38,0,115,6,1,6,0,5,21,7,3,0.265,0.311,0.385,2014,ARI,0.696
SS,169,596,67,146,28,10,13,52,43,3,116,3,6,2,0,8,7,12,0,0.245,0.298,0.391,2014,ARI,0.6890000000000001
LF,191,629,59,154,27,2,13,62,37,2,137,3,1,1,0,4,10,8,3,0.245,0.29,0.356,2014,ARI,0.6459999999999999
CF,175,654,86,183,30,11,10,48,38,0,98,3,4,0,0,15,6,29,7,0.28,0.322,0.405,2014,ARI,0.7270000000000001
RF,177,642,75,160,25,8,12,52,39,3,134,4,5,4,0,7,15,10,6,0.249,0.295,0.369,2014,ARI,0.6639999999999999
C,181,605,69,144,32,1,26,92,53,0,158,8,2,7,0,12,20,3,1,0.238,0.305,0.423,2015,ARI,0.728
1B,179,595,112,193,43,2,36,116,124,29,156,2,0,7,1,8,19,21,5,0.324,0.438,0.585,2015,ARI,1.023
2B,192,636,76,140,31,6,11,60,40,2,158,2,7,7,0,8,18,16,6,0.22,0.266,0.34,2015,ARI,0.6060000000000001
3B,190,634,68,174,27,5,9,69,53,3,156,2,0,7,0,7,15,10,3,0.274,0.329,0.375,2015,ARI,0.704
SS,189,592,59,134,25,6,10,49,40,4,120,2,7,4,0,10,7,6,4,0.226,0.276,0.34,2015,ARI,0.6160000000000001
LF,191,642,92,196,36,12,18,95,52,2,122,7,3,9,0,8,9,15,6,0.305,0.359,0.483,2015,ARI,0.842
CF,175,682,120,213,44,6,21,85,59,0,98,2,0,11,0,7,18,41,10,0.312,0.363,0.487,2015,ARI,0.85
RF,193,694,83,195,35,10,19,66,30,0,140,4,1,1,0,11,20,14,7,0.281,0.314,0.442,2015,ARI,0.756
C,173,615,68,158,29,4,24,102,49,4,166,4,2,5,0,6,9,5,0,0.257,0.314,0.434,2016,ARI,0.748
1B,172,603,113,184,35,4,26,100,109,15,153,7,0,8,1,5,15,32,5,0.305,0.413,0.506,2016,ARI,0.919
2B,194,693,110,219,41,8,21,61,44,1,120,12,4,1,0,10,6,31,7,0.316,0.367,0.489,2016,ARI,0.856
3B,181,624,91,160,37,8,30,103,70,5,168,3,1,5,0,13,17,6,1,0.256,0.332,0.486,2016,ARI,0.8180000000000001
SS,181,623,67,158,30,9,8,62,27,4,117,10,3,6,0,7,14,21,7,0.254,0.293,0.369,2016,ARI,0.6619999999999999
LF,209,638,80,154,36,2,30,90,51,3,161,3,0,3,0,8,21,6,2,0.241,0.299,0.445,2016,ARI,0.744
CF,184,637,80,162,23,10,16,69,49,4,157,1,7,1,0,7,11,23,4,0.254,0.308,0.397,2016,ARI,0.7050000000000001
RF,204,659,83,179,33,8,28,85,35,7,163,6,0,3,0,7,17,6,4,0.272,0.313,0.473,2016,ARI,0.786
C,186,573,69,134,36,2,27,71,64,1,173,7,1,1,0,4,10,4,0,0.234,0.318,0.445,2017,ARI,0.763
1B,184,604,118,174,38,3,35,124,101,15,159,10,0,3,1,6,16,18,5,0.288,0.397,0.535,2017,ARI,0.932
2B,188,625,63,154,41,5,20,85,46,1,159,4,2,2,0,5,11,5,1,0.246,0.301,0.424,2017,ARI,0.725
3B,177,607,98,149,35,4,34,117,88,12,173,7,0,5,0,3,19,6,4,0.245,0.345,0.484,2017,ARI,0.829
SS,183,625,83,163,37,3,17,63,44,6,131,4,1,3,0,7,10,13,6,0.261,0.312,0.411,2017,ARI,0.723
LF,220,633,82,151,32,4,15,76,72,1,168,3,1,4,0,10,8,10,4,0.239,0.317,0.373,2017,ARI,0.69
CF,191,655,115,173,40,12,17,62,55,2,121,6,1,0,0,11,8,33,6,0.264,0.327,0.44,2017,ARI,0.767
RF,183,659,114,203,39,5,44,119,58,3,153,4,0,3,0,8,16,13,3,0.308,0.366,0.583,2017,ARI,0.949
C,195,546,44,103,21,1,16,58,61,4,210,2,2,5,0,5,10,0,0,0.189,0.27,0.319,2018,ARI,0.589
1B,176,620,101,179,37,5,35,91,93,11,183,7,0,0,1,12,7,7,4,0.289,0.388,0.534,2018,ARI,0.922
2B,200,598,78,153,33,11,16,76,82,5,117,2,1,4,0,7,10,7,2,0.256,0.345,0.428,2018,ARI,0.7729999999999999
3B,194,609,93,143,31,2,21,80,72,2,154,4,0,14,0,9,16,7,4,0.235,0.313,0.396,2018,ARI,0.7090000000000001
SS,177,607,74,140,36,7,18,78,51,2,121,3,1,6,0,8,19,5,3,0.231,0.291,0.402,2018,ARI,0.6930000000000001
LF,174,668,93,193,29,10,30,96,50,4,149,9,2,2,0,8,16,6,0,0.289,0.346,0.497,2018,ARI,0.843
CF,178,622,89,151,25,7,22,80,57,4,138,9,3,9,0,3,9,26,4,0.243,0.311,0.412,2018,ARI,0.723
RF,188,634,74,131,30,6,11,58,53,3,163,13,0,1,0,7,12,14,5,0.207,0.281,0.325,2018,ARI,0.6060000000000001
C,189,548,81,125,30,0,31,76,88,17,174,4,2,1,0,9,19,1,0,0.228,0.339,0.453,2019,ARI,0.792
1B,195,626,95,154,31,2,30,84,74,7,179,9,0,3,0,5,16,9,2,0.246,0.333,0.446,2019,ARI,0.779
2B,237,682,85,205,39,6,29,109,48,1,94,4,0,5,0,5,15,3,1,0.301,0.348,0.503,2019,ARI,0.851
3B,197,641,98,163,33,7,31,105,65,3,144,5,0,9,0,7,11,6,1,0.254,0.324,0.473,2019,ARI,0.7969999999999999
SS,175,590,85,148,33,8,20,84,53,2,116,4,1,12,0,14,15,9,2,0.251,0.311,0.436,2019,ARI,0.747
LF,187,659,91,173,44,6,15,80,62,3,154,17,1,1,0,8,12,10,1,0.263,0.341,0.416,2019,ARI,0.757
CF,223,678,121,199,35,8,28,93,64,1,127,11,0,3,0,4,4,34,2,0.294,0.362,0.493,2019,ARI,0.855
RF,201,653,93,162,32,2,17,76,49,1,137,10,1,5,1,13,17,10,2,0.248,0.308,0.381,2019,ARI,0.6890000000000001
C,182,562,72,130,25,3,21,81,79,4,146,8,1,5,0,5,14,3,0,0.231,0.332,0.399,2021,ARI,0.7310000000000001
1B,194,631,80,155,33,4,15,77,58,1,167,8,0,4,0,5,12,1,0,0.246,0.315,0.382,2021,ARI,0.6970000000000001
2B,211,620,77,148,44,3,25,84,67,1,173,5,0,4,2,7,8,6,2,0.239,0.316,0.44,2021,ARI,0.756
3B,197,623,78,146,29,4,22,89,62,3,168,4,0,3,0,5,11,5,2,0.234,0.306,0.4,2021,ARI,0.706
SS,185,597,63,134,45,4,5,49,52,5,143,2,3,2,0,12,10,8,4,0.224,0.288,0.338,2021,ARI,0.626
LF,207,618,66,155,32,7,13,79,50,4,126,7,0,2,0,12,11,4,1,0.251,0.313,0.388,2021,ARI,0.7010000000000001
CF,208,634,90,159,40,3,17,60,61,5,134,9,1,1,0,7,13,6,3,0.251,0.325,0.404,2021,ARI,0.7290000000000001
RF,202,628,84,172,40,2,14,70,49,0,150,1,1,2,2,11,13,7,0,0.274,0.326,0.411,2021,ARI,0.737
C,197,541,66,116,27,0,12,62,47,0,141,8,5,6,0,3,13,4,3,0.214,0.284,0.331,2022,ARI,0.615
1B,170,605,83,146,28,2,34,95,67,2,135,8,0,7,0,7,14,2,2,0.241,0.322,0.463,2022,ARI,0.785
2B,181,596,80,148,45,4,9,69,55,1,121,5,3,7,0,5,9,12,2,0.248,0.314,0.383,2022,ARI,0.6970000000000001
3B,188,588,83,133,27,2,16,66,59,1,160,3,6,5,0,4,12,17,2,0.226,0.298,0.361,2022,ARI,0.659
SS,182,512,67,108,14,2,10,58,55,0,121,6,12,4,0,8,5,10,3,0.211,0.293,0.305,2022,ARI,0.598
LF,188,597,80,163,43,5,24,79,56,4,156,7,1,5,3,5,11,18,5,0.273,0.34,0.482,2022,ARI,0.8220000000000001
CF,188,601,81,137,25,3,20,69,42,0,137,5,0,7,0,12,9,12,3,0.228,0.281,0.379,2022,ARI,0.66
RF,206,603,72,132,23,3,22,73,52,1,171,5,3,4,1,10,10,17,3,0.219,0.285,0.376,2022,ARI,0.661
DH,191,574,70,123,28,1,22,65,81,5,152,10,1,5,0,4,9,10,3,0.214,0.319,0.382,2022,ARI,0.7010000000000001
C,181,529,55,142,28,1,8,65,49,0,126,4,5,9,0,5,21,8,2,0.268,0.33,0.371,2023,ARI,0.7010000000000001
1B,176,618,86,155,37,2,33,106,61,3,139,8,0,8,1,3,15,11,0,0.251,0.322,0.477,2023,ARI,0.7989999999999999
2B,181,632,105,177,31,10,24,85,77,2,114,5,3,6,0,7,14,10,3,0.28,0.36,0.475,2023,ARI,0.835
3B,210,565,64,132,26,2,10,64,59,1,152,2,3,9,2,9,12,7,1,0.234,0.304,0.34,2023,ARI,0.644
SS,195,541,74,122,26,3,8,55,62,1,127,7,9,3,0,3,2,21,5,0.226,0.312,0.329,2023,ARI,0.641
LF,198,639,94,178,41,4,30,97,46,1,131,9,3,3,0,3,20,27,2,0.279,0.334,0.496,2023,ARI,0.8300000000000001
CF,189,588,83,143,29,6,17,62,39,2,129,4,4,5,0,9,8,22,4,0.243,0.292,0.4,2023,ARI,0.692
RF,196,589,90,154,22,10,12,59,65,1,124,15,6,1,1,7,9,49,7,0.261,0.349,0.394,2023,ARI,0.743
DH,186,610,75,133,31,4,22,94,58,0,171,2,0,5,0,4,17,8,1,0.218,0.286,0.39,2023,ARI,0.6759999999999999
C,188,549,71,140,29,2,10,83,67,1,136,2,9,4,0,5,12,5,2,0.255,0.336,0.37,2024,ARI,0.706
1B,188,629,96,163,31,1,32,108,71,4,160,11,0,8,4,6,22,3,3,0.259,0.341,0.464,2024,ARI,0.805
2B,194,612,111,171,26,2,33,102,78,7,129,5,4,11,0,6,12,14,0,0.279,0.36,0.49,2024,ARI,0.85
3B,173,594,91,151,29,2,30,105,48,1,181,9,0,13,0,5,10,2,1,0.254,0.313,0.461,2024,ARI,0.774
SS,178,562,86,151,35,3,6,58,50,0,98,3,10,5,0,6,11,12,2,0.269,0.329,0.374,2024,ARI,0.7030000000000001
LF,192,650,102,193,34,7,25,107,41,1,125,7,0,8,0,2,17,12,2,0.297,0.341,0.486,2024,ARI,0.827
CF,184,633,92,146,21,8,11,70,50,0,124,12,4,4,0,8,12,29,6,0.231,0.298,0.341,2024,ARI,0.639
RF,203,594,109,147,26,11,24,83,67,1,121,12,6,10,0,6,7,28,7,0.247,0.331,0.449,2024,ARI,0.78
DH,226,564,92,153,30,0,33,99,74,2,150,19,0,3,5,7,7,9,4,0.271,0.373,0.5,2024,ARI,0.873
